***Ebeam     Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.7000   3.8300   8.4000   0.0682   0.8793  0.19426E+03  0.19426E+03  0.40242E-02  0.28423E+03  0.13724E+01  0.22670E+02  0.26019E+03  0.10000E+01
   10.7000   3.8400   8.4000   0.0685   0.8816  0.19436E+03  0.19436E+03  0.40301E-02  0.28392E+03  0.13541E+01  0.22496E+02  0.26007E+03  0.10000E+01
   10.7000   3.8500   8.4000   0.0688   0.8839  0.19445E+03  0.19445E+03  0.40360E-02  0.28361E+03  0.13361E+01  0.22324E+02  0.25995E+03  0.10000E+01
   10.7000   3.8600   8.4000   0.0690   0.8861  0.19450E+03  0.19450E+03  0.40420E-02  0.28335E+03  0.13183E+01  0.22153E+02  0.25988E+03  0.10000E+01
   10.7000   3.8700   8.4000   0.0693   0.8884  0.19478E+03  0.19477E+03  0.40481E-02  0.28305E+03  0.13008E+01  0.21984E+02  0.25977E+03  0.10000E+01
   10.7000   3.8800   8.4000   0.0696   0.8907  0.19479E+03  0.19479E+03  0.40543E-02  0.28272E+03  0.12835E+01  0.21817E+02  0.25962E+03  0.10000E+01
   10.7000   3.8900   8.4000   0.0699   0.8930  0.19488E+03  0.19488E+03  0.40605E-02  0.28241E+03  0.12664E+01  0.21651E+02  0.25950E+03  0.10000E+01
   10.7000   3.9000   8.4000   0.0702   0.8953  0.19498E+03  0.19498E+03  0.40668E-02  0.28212E+03  0.12496E+01  0.21487E+02  0.25938E+03  0.10000E+01
   10.7000   3.9100   8.4000   0.0704   0.8976  0.19509E+03  0.19508E+03  0.40732E-02  0.28183E+03  0.12331E+01  0.21324E+02  0.25928E+03  0.10000E+01
   10.7000   3.9200   8.4000   0.0707   0.8999  0.19519E+03  0.19519E+03  0.40796E-02  0.28162E+03  0.12167E+01  0.21163E+02  0.25924E+03  0.10000E+01
   10.7000   3.9300   8.4000   0.0710   0.9022  0.19529E+03  0.19529E+03  0.40861E-02  0.28127E+03  0.12006E+01  0.21004E+02  0.25907E+03  0.10000E+01
   10.7000   3.9400   8.4000   0.0713   0.9045  0.19540E+03  0.19540E+03  0.40927E-02  0.28100E+03  0.11848E+01  0.20845E+02  0.25897E+03  0.10000E+01
   10.7000   3.9500   8.4000   0.0716   0.9068  0.19551E+03  0.19550E+03  0.40994E-02  0.28072E+03  0.11691E+01  0.20688E+02  0.25886E+03  0.10000E+01
   10.7000   3.9600   8.4000   0.0719   0.9091  0.19561E+03  0.19561E+03  0.41061E-02  0.28044E+03  0.11536E+01  0.20523E+02  0.25876E+03  0.10000E+01
   10.7000   3.9700   8.4000   0.0722   0.9114  0.19572E+03  0.19572E+03  0.41130E-02  0.28017E+03  0.11384E+01  0.20369E+02  0.25866E+03  0.10000E+01
   10.7000   3.9800   8.4000   0.0725   0.9137  0.19582E+03  0.19582E+03  0.41199E-02  0.27990E+03  0.11234E+01  0.20210E+02  0.25857E+03  0.10000E+01
   10.7000   3.9900   8.4000   0.0727   0.9160  0.19590E+03  0.19590E+03  0.41268E-02  0.27961E+03  0.11085E+01  0.20051E+02  0.25846E+03  0.10000E+01
   10.7000   4.0000   8.4000   0.0730   0.9183  0.19599E+03  0.19599E+03  0.41339E-02  0.27934E+03  0.10939E+01  0.19901E+02  0.25834E+03  0.10000E+01
   10.7000   4.0100   8.4000   0.0733   0.9206  0.19612E+03  0.19612E+03  0.41410E-02  0.27920E+03  0.10795E+01  0.19754E+02  0.25836E+03  0.10000E+01
   10.7000   4.0200   8.4000   0.0736   0.9229  0.19640E+03  0.19640E+03  0.41482E-02  0.27893E+03  0.10653E+01  0.19604E+02  0.25826E+03  0.10000E+01
